country	time_of_day	animal	attacks
Portugal	Morning	Slender loris	6279
Peru	Evening	Chilean flamingo	6771
France	Evening	Long-tailed jaeger	8194
Philippines	Night	Yellow-brown sungazer	3103
New Zealand	Night	North American beaver	3362
Finland	Morning	Levaillant's barbet	1687
Sweden	Afternoon	Monkey, black spider	8958
Brazil	Afternoon	Wallaby, agile	5079
Japan	Night	Genoveva	9632
Sweden	Night	Comb duck	1371
China	Night	Small-spotted genet	7715
Saudi Arabia	Afternoon	Owl, burrowing	6285
Greece	Morning	Common genet	729
Guinea	Morning	Crowned hawk-eagle	7745
Madagascar	Afternoon	Lizard, collared	3877
Montenegro	Evening	Gazelle, grant's	8395
Brazil	Afternoon	Lesser masked weaver	9330
Philippines	Night	Groundhog	3002
South Korea	Morning	Ox, musk	7561
Croatia	Night	Dove, mourning collared	7303
Russia	Evening	African pied wagtail	794
Comoros	Evening	Raccoon, crab-eating	6023
China	Afternoon	Scottish highland cow	7039
Poland	Morning	Frogmouth, tawny	2995
Russia	Night	Sandgrouse, yellow-throated	2354
Czech Republic	Evening	Indian jackal	7552
Indonesia	Night	Sandgrouse, yellow-throated	9378
Japan	Afternoon	Alligator, american	2968
Canada	Evening	Alligator, mississippi	7182
Nigeria	Morning	Llama	2902
Pakistan	Morning	White-winged tern	4137
Indonesia	Morning	Cormorant, neotropic	8609
Ukraine	Afternoon	Cormorant, javanese	8727
China	Night	Seal, northern fur	721
Brazil	Afternoon	Stork, woolly-necked	7160
Brazil	Afternoon	Currasow (unidentified)	334
China	Morning	Salmon pink bird eater tarantula	5805
North Korea	Morning	Bulbul, african red-eyed	2118
Philippines	Afternoon	Stork, white	9904
China	Evening	Possum, common brushtail	2184
Yemen	Afternoon	Rhinoceros, black	8801
China	Night	Jacana, african	2266
Argentina	Afternoon	Honey badger	3442
Brazil	Afternoon	Chuckwalla	1540
Sweden	Afternoon	Lion, asian	3243
China	Afternoon	Snake, green vine	4550
Libya	Afternoon	Great kiskadee	3309
Indonesia	Night	Crake, african black	3785
China	Evening	Ring-tailed possum	2018
Vietnam	Evening	Red kangaroo	416
Indonesia	Night	Brindled gnu	971
Indonesia	Afternoon	Magellanic penguin	1840
United States	Afternoon	Tiger cat	5531
Indonesia	Morning	Deer, swamp	8671
Russia	Night	Greater kudu	265
China	Night	Common nighthawk	8028
Nigeria	Morning	Rufous tree pie	2512
Qatar	Morning	Screamer, crested	5023
France	Morning	Crab-eating raccoon	4881
Poland	Afternoon	Caiman, spectacled	5805
Botswana	Evening	Royal tern	6951
Peru	Morning	Paddy heron (unidentified)	5992
Indonesia	Morning	Burmese black mountain tortoise	8163
China	Night	Plover, three-banded	404
Portugal	Afternoon	Oystercatcher, blackish	6560
Argentina	Night	Tropical buckeye butterfly	5123
Nigeria	Night	Lion, asian	5017
Democratic Republic of the Congo	Evening	Ring-tailed coatimundi	9109
Peru	Afternoon	Lion, steller sea	5642
Indonesia	Night	Indian mynah	2273
China	Night	Snow goose	8066
Indonesia	Afternoon	Goose, andean	3985
Guatemala	Morning	Galapagos hawk	4063
Finland	Morning	South American puma	3376
Indonesia	Evening	Canadian tiger swallowtail butterfly	3766
Cyprus	Evening	Bird, secretary	8330
China	Afternoon	Falcon, prairie	6444
Sweden	Morning	Stork, black-necked	8867
Colombia	Night	European spoonbill	5496
Nigeria	Afternoon	Starling, greater blue-eared	1596
Indonesia	Afternoon	Eastern diamondback rattlesnake	9410
China	Evening	Brown lemur	1752
Germany	Night	Hummingbird (unidentified)	185
Tajikistan	Night	Dunnart, fat-tailed	6076
Brazil	Morning	Crested screamer	6786
Poland	Evening	European wild cat	2843
Bolivia	Night	Cat, miner's	5595
Malta	Afternoon	Bird, secretary	1479
Portugal	Evening	Caracara, yellow-headed	2228
China	Morning	Turtle, eastern box	1955
Belarus	Night	Marmot, yellow-bellied	4740
Peru	Night	Malagasy ground boa	9631
Egypt	Morning	Boar, wild	9229
Brazil	Morning	Crimson-breasted shrike	4281
Croatia	Evening	Black-winged stilt	2758
Norway	Evening	Eagle, long-crested hawk	404
Canada	Evening	Crested bunting	5772
Guatemala	Afternoon	Cat, ringtail	9366
Czech Republic	Evening	Horned rattlesnake	9874
Colombia	Evening	Possum, western pygmy	9264
Serbia	Night	Klipspringer	861
Russia	Afternoon	Chuckwalla	9519
China	Evening	Fox, asian red	3468
China	Morning	Fox, pampa gray	5804
Palestinian Territory	Morning	Cape clawless otter	5366
China	Evening	Little blue penguin	2140
South Africa	Afternoon	Kongoni	5118
Canada	Evening	Western lowland gorilla	2559
Argentina	Morning	Ornate rock dragon	5686
Indonesia	Afternoon	Otter, african clawless	977
Ecuador	Evening	Blue fox	7878
Poland	Morning	Wallaby, whip-tailed	5544
Serbia	Night	Booby, blue-footed	2697
Norway	Afternoon	Marten, american	4501
Brazil	Morning	Puku	6388
Argentina	Afternoon	Tern, white-winged black	808
Indonesia	Morning	Rattlesnake, horned	7945
China	Night	Bird, pied butcher	8713
China	Afternoon	Dusky gull	221
China	Night	Eagle owl (unidentified)	867
China	Night	Laughing kookaburra	869
Russia	Evening	Egyptian viper	2673
Poland	Afternoon	Deer, mule	1511
Poland	Morning	House sparrow	9325
Indonesia	Night	Hornbill, red-billed	3386
Thailand	Night	Asian foreset tortoise	7784
Portugal	Morning	Platypus	6789
Bangladesh	Afternoon	Cardinal, red-capped	5172
China	Night	Eurasian hoopoe	2759
Cyprus	Evening	Porcupine, tree	7036
Jamaica	Afternoon	King cormorant	5058
Mongolia	Evening	Monkey, bleeding heart	6442
Serbia	Evening	Ass, asiatic wild	5892
Indonesia	Evening	Black-winged stilt	4653
China	Night	Polar bear	6573
Czech Republic	Morning	Sarus crane	5380
Russia	Afternoon	Dolphin, striped	7021
Yemen	Afternoon	White-nosed coatimundi	9906
Vietnam	Evening	Blue waxbill	7870
China	Night	Prehensile-tailed porcupine	868
Spain	Evening	Cat, toddy	8491
Russia	Morning	Eurasian red squirrel	354
Indonesia	Night	Raccoon dog	6200
Colombia	Night	Cereopsis goose	3989
Malaysia	Night	Possum, pygmy	2447
Czech Republic	Night	Dabchick	5569
Afghanistan	Morning	Dolphin, common	668
Peru	Night	Genet, common	2906
Sweden	Morning	Lourie, grey	9255
Bhutan	Morning	Hyena, striped	8304
Saudi Arabia	Evening	Cormorant, neotropic	8438
Indonesia	Morning	Crested screamer	6032
Czech Republic	Night	Wild boar	2471
Indonesia	Night	Sage grouse	6129
Ireland	Evening	Woodchuck	6082
Sweden	Night	Whale, long-finned pilot	7668
Sweden	Evening	Jabiru stork	6437
Philippines	Night	Bird, black-throated butcher	3476
Djibouti	Evening	Siskin, pine	2596
Argentina	Night	Red howler monkey	6401
Germany	Night	Spotted-tailed quoll	2536
Indonesia	Evening	Turtle (unidentified)	910
Indonesia	Night	Finch, common melba	7794
Ethiopia	Morning	Sloth, hoffman's	9361
China	Morning	Weeper capuchin	3914
Japan	Night	Nighthawk, common	9242
Brazil	Night	Duck, white-faced whistling	1808
Spain	Morning	Godwit, hudsonian	3276
China	Evening	Hottentot teal	5924
China	Evening	Eastern boa constrictor	9680
Indonesia	Afternoon	Flightless cormorant	5623
Indonesia	Afternoon	Macaque, pig-tailed	2509
Greece	Afternoon	Long-tailed skua	9274
Slovenia	Morning	Indian mynah	1430
Kenya	Morning	Antelope ground squirrel	8753
Indonesia	Afternoon	Pademelon, red-legged	7310
Belize	Night	Emu	9763
Macedonia	Morning	Two-toed tree sloth	7363
United Kingdom	Night	Cereopsis goose	6589
United Kingdom	Night	Gelada baboon	1455
United States	Afternoon	Duck, white-faced whistling	1802
Indonesia	Morning	Margay	8560
China	Afternoon	Weaver, red-billed buffalo	1105
Venezuela	Night	Javanese cormorant	1241
Japan	Morning	Groundhog	7847
Indonesia	Afternoon	Darter, african	9777
Moldova	Night	Spoonbill, european	682
China	Evening	Sunbird, lesser double-collared	7074
Haiti	Evening	Laughing dove	1403
Brazil	Afternoon	Lion, southern sea	4975
Ukraine	Night	American racer	8457
Russia	Night	Hyena, brown	2235
China	Morning	Northern fur seal	2654
Indonesia	Afternoon	Swan, trumpeter	7507
Philippines	Morning	Swallow (unidentified)	1640
Czech Republic	Evening	Asian lion	887
Russia	Afternoon	Lorikeet, scaly-breasted	2600
Indonesia	Afternoon	Baboon, savanna	2061
China	Morning	Coke's hartebeest	6666
Sweden	Night	Colobus, white-mantled	8400
China	Morning	Flamingo, chilean	5526
Indonesia	Afternoon	Plover, three-banded	6755
Russia	Night	Western palm tanager (unidentified)	9312
Portugal	Morning	Sugar glider	3769
United States	Night	Elk, Wapiti	4171
Syria	Evening	Springbuck	2623
Nepal	Night	Southern white-crowned shrike	10000
Russia	Evening	Eagle, bateleur	4918
United States	Night	Grizzly bear	4171
China	Morning	Urial	5027
Greece	Morning	Cormorant, neotropic	9742
France	Afternoon	Camel, dromedary	8377
Poland	Evening	Lapwing, southern	5138
Japan	Morning	Coatimundi, ring-tailed	1598
Poland	Night	Crane, brolga	5660
Indonesia	Morning	Colobus, magistrate black	7219
Russia	Morning	Bleeding heart monkey	8004
Nigeria	Morning	Lark, horned	3037
Bolivia	Afternoon	Goose, andean	2327
South Africa	Evening	Little heron	1336
France	Morning	Lorikeet, scaly-breasted	5875
Indonesia	Morning	Brocket, brown	1620
China	Morning	Whale, long-finned pilot	7396
Sweden	Evening	North American red fox	4780
China	Night	Crane, wattled	5999
China	Afternoon	Antelope, roan	7389
Portugal	Afternoon	Seal, harbor	9735
United States	Evening	Salmon, sockeye	6904
Armenia	Evening	Capuchin, brown	788
Thailand	Morning	Potoroo	6116
Portugal	Morning	Red-billed tropic bird	3766
Canada	Morning	Pheasant, common	4070
Russia	Night	Possum, golden brush-tailed	1363
Mexico	Night	Coot, red-knobbed	5000
Argentina	Night	Pademelon, red-legged	8299
Honduras	Afternoon	Waxbill, violet-eared	9844
Poland	Night	Paca	6902
Pakistan	Afternoon	American bison	5099
Indonesia	Evening	Cape clawless otter	1988
Finland	Evening	Paradoxure	4211
Indonesia	Morning	Porcupine, north american	5743
Canada	Afternoon	Jaguarundi	9371
Brazil	Morning	Crab-eating fox	716
Philippines	Evening	Cockatoo, sulfur-crested	1430
China	Night	Bald eagle	1653
China	Evening	Langur, common	9887
Portugal	Evening	Phascogale, red-tailed	9706
Finland	Evening	Siskin, pine	6998
Tuvalu	Evening	Pine snake (unidentified)	1156
Russia	Morning	Malachite kingfisher	3000
China	Afternoon	Great skua	3341
Iran	Night	Lion, african	3090
Spain	Afternoon	Dolphin, common	593
Indonesia	Morning	Brown capuchin	6100
Canada	Evening	Shelduck, common	6811
Colombia	Afternoon	Black-backed magpie	5446
New Zealand	Evening	Black-capped chickadee	9636
Indonesia	Night	Sacred ibis	9818
Indonesia	Night	Arctic hare	4159
Philippines	Morning	Coqui francolin	1334
Philippines	Morning	Northern fur seal	7190
Brazil	Night	Black spider monkey	2399
Gambia	Afternoon	Four-striped grass mouse	9867
Nicaragua	Morning	Buffalo, american	1515
Indonesia	Evening	Oriental white-backed vulture	7595
Honduras	Afternoon	Bontebok	9714
Sweden	Evening	Crown of thorns starfish	8523
Cuba	Afternoon	Snake, carpet	448
Indonesia	Evening	Hawk, galapagos	9377
Japan	Evening	Adouri (unidentified)	1969
China	Night	Cat, cape wild	1234
China	Night	Red-tailed hawk	3148
Ukraine	Night	Herring gull	8235
Philippines	Night	Roseate cockatoo	3869
Peru	Morning	Blue duck	8281
Czech Republic	Afternoon	Flamingo, chilean	2336
Indonesia	Night	Barking gecko	2281
China	Night	Snowy owl	9911
Japan	Morning	Chestnut weaver	1401
Indonesia	Afternoon	Fox, asian red	298
Dominican Republic	Night	Savannah deer	7723
China	Evening	Cormorant, great	6523
France	Morning	Parakeet, rose-ringed	9553
Peru	Morning	Hawk, red-tailed	7629
Brazil	Morning	Nighthawk, common	5033
Chad	Evening	Japanese macaque	6578
Czech Republic	Morning	Worm snake (unidentified)	760
Indonesia	Afternoon	Gull, kelp	2385
Indonesia	Morning	Lion, southern sea	6032
France	Night	Lizard, collared	1829
France	Morning	Grey lourie	497
Paraguay	Afternoon	Lapwing, southern	3583
Indonesia	Evening	Asian openbill	1974
China	Night	Squirrel, eurasian red	9733
Kenya	Afternoon	Lizard, collared	8445
Thailand	Evening	Rhea, greater	1653
Philippines	Morning	Southern screamer	2940
China	Night	Peacock, indian	6953
Indonesia	Morning	Dragon, western bearded	9759
Vietnam	Morning	Eurasian beaver	168
China	Morning	White rhinoceros	2046
Honduras	Night	Zorro, common	4204
Ukraine	Evening	Lesser double-collared sunbird	291
Czech Republic	Afternoon	Red-winged hawk (unidentified)	2475
Poland	Morning	African elephant	6630
France	Afternoon	Waxbill, blue	3207
China	Night	Penguin, fairy	5863
Philippines	Afternoon	Galapagos mockingbird	9055
Turkmenistan	Night	Cobra, cape	1702
China	Night	South American puma	3191
France	Afternoon	Phascogale, brush-tailed	8134
Czech Republic	Afternoon	Colobus, magistrate black	9914
Brazil	Afternoon	Python (unidentified)	1951
Sweden	Afternoon	Rattlesnake, horned	2883
France	Afternoon	Southern ground hornbill	6935
Canada	Afternoon	Dove, ring	1650
China	Afternoon	Ocelot	7022
Russia	Afternoon	Brown brocket	6670
